university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
A.R.N.A.S. OSPEDALI CIVICO DI CRISTINA BENFRATELLI,,,,4339.0,,,,,,,,,,,,,,,,,,
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,,,,1268.0,,,,,,,,,,,,1061.0,,,,,1701.0,
AALBORG UNIVERSITY,1284.0,511.0,1467.0,427.0,277.0,,53.0,681.0,,,1266.0,,530.0,1108.0,,551.0,1149.0,,1454.0,550.0,354.0,
AALBORG UNIVERSITY HOSPITAL,,1014.0,,801.0,,,,,,,,,,,,,,,,1012.0,1942.0,
ABADAN SCH MED SCI,,,,3074.0,,,,,,,,,,,,,,,,,,
ABADAN UNIV MED SCI,,,,5354.0,,,,,,,,,,,,,,,,,,
ABANT IZZET BAYSAL UNIVERSITY,1240.0,,,4552.0,,,1822.0,,,,,,,,,,,,,,,
ABASYN UNIV,,,,5534.0,,,,,,,,,,,,,,,,,,
ABB,,,,,,,903.0,,,,,,,,,,,,,,,
ABBOTT,,,,5571.0,,,,,,,,,,,,,,,,,,
ABBOTT LABORATORIES,,,,6217.0,,,,,,,,,,,,,,,,,,
ABBOTT NW HOSP,,,,3995.0,,,,,,,,,,,,,,,,,,
ABBOTT VASC,,,,5461.0,,,,,,,,,,,,,,,,,,
ABBVIE,,1631.0,1488.0,986.0,,,,,,1032.0,,,,1085.0,,859.0,155.0,,,,,
ABDELMALEK ESSAADI UNIVERSITY OF TETOUAN,,,,,,,1891.0,,,,,,,,,,,,,,,
ABDUL WALI KHAN UNIV MARDAN,,,,,,,1829.0,,,,,,,,,,,,1636.0,,,
ABDUL WALI KHAN UNIVERSITY,,,1939.0,,,,1753.0,,,,,,,,,,1184.0,,1724.0,,,
ABDULLAH GUL UNIVERSITY,,,,,,,1954.0,,,,,,,,,,,,,,,
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS (ICTP),,,,,,,,,697.0,,,,,,,,,296.0,,,,
ABERYSTWYTH UNIVERSITY,950.0,1103.0,,,,,2364.0,1154.0,495.0,,,,,,,,,,586.0,,1122.0,
ABILENE CHRISTIAN UNIVERSITY,,,,,,,,,,,,,,,,,,698.0,,,,
ABINGTON MEMORIAL HOSPITAL,,,,3099.0,,,,,,,,,,,,,,,,,,
ABO AKADEMI UNIVERSITY,,1130.0,1017.0,3591.0,,,1846.0,1701.0,,,1000.0,,,,,,949.0,,1553.0,1078.0,1061.0,
ABT ASSOCIATES,,,,5798.0,,,,,,,,,,,,,,,,,1595.0,
ABT ASSOCIATES NEPAL,,,,2212.0,,,,,,,,,,,,,,,,,,
ABU DHABI UNIVERSITY,,,,2893.0,,,2146.0,,,,,,,,,,,,,,1387.0,
ACAD BORDEAUX,,,1134.0,,,,1318.0,1464.0,1025.0,,,,,,,,,,1418.0,,1918.0,
ACAD HOSP ST JAN,,,,5778.0,,,,,,,,,,,,,,,,,,
ACAD MED CTR,,,,4715.0,,,,,,,,,,,,,,,,,,
ACAD MED SCI,,,,2436.0,,,,,,,,,,,,,,,,,,
ACADEMIA SINICA - TAIWAN,,439.0,446.0,1130.0,861.0,,1637.0,869.0,417.0,1073.0,359.0,,563.0,423.0,,1093.0,744.0,268.0,338.0,,1298.0,128.0
ACADEMIC CENTER FOR DENTISTRY AMSTERDAM,,,,1670.0,,,,,,,,,,,,,,,,,,
"ACADEMIC CENTER FOR EDUCATION, CULTURE & RESEARCH (ACECR)",,759.0,2116.0,2999.0,,,2172.0,,,,,,,1056.0,,,703.0,,,,,
ACADEMIC MEDICAL CENTER AMSTERDAM,,528.0,,133.0,,,,,,105.0,,,423.0,259.0,,189.0,569.0,,,347.0,507.0,
ACADEMISCH ZIEKENHUIS PARAMARIBO,,,,6019.0,,,,,,,,,,,,,,,,,,
ACADEMY FUNDAMENTAL & INTERDISCIPLINARY SCIENCE,,,1999.0,,,,,,,,1270.0,,,,,,,,,,,
ACADEMY OF ATHENS,,,,1534.0,,,,,,,,,,1057.0,,,,,,,,
"ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS",,,,,610.0,,792.0,,,,,38.0,,,,,,,,,1912.0,
ACADEMY OF MILITARY MEDICAL SCIENCES - CHINA,,1092.0,1365.0,2446.0,,,,,,967.0,1356.0,,593.0,690.0,,,417.0,,,,,
ACADEMY OF SCIENCES OF UZBEKISTAN,,,,,,,,,,,,,,,,,,,1848.0,,,
ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (ACSIR),384.0,440.0,119.0,5121.0,,,604.0,851.0,,,297.0,,773.0,,,,348.0,,620.0,,,
ACADIA UNIVERSITY,,,,,,,,1775.0,,,,,,,,,,,1647.0,,,
ACCREDITAT COUNCIL GRAD MED EDUC,,,,5920.0,,,,,,,,,,,,,,,,,,
ACIBADEM HOSPITALS GROUP,,,,4508.0,,,,,,,,,,,,,,,,,,
ACIBADEM UNIVERSITY,,,,2442.0,,,,,,,,,,,,,,,,,,
ACTELION PHARMACEUTICALS LTD,,,,6625.0,,,,,,,,,,,,,,,,,,
ADAM MICKIEWICZ UNIVERSITY,,1076.0,634.0,,,,2562.0,748.0,744.0,,927.0,,,,,,,984.0,496.0,,774.0,
ADANA ALPARSLAN TURKES SCIENCE & TECHNOLOGY UNIVERSITY,,,,,,,1877.0,,,,,,,,,,,,,,,
ADANA NUMUNE TRAINING & RESEARCH HOSPITAL,,,,5125.0,,,,,,,,,,,,,,,,,,
ADAPT BIOTECHNOL,,,,4279.0,,,,,,,,,,,,,,,,,,
ADAPT KNOWLEDGE MANAGEMENT,,,,2868.0,,,,,,,,,,,,,,,,,,
ADDENBROOKE'S HOSPITAL,,663.0,,538.0,,,,,,763.0,,,557.0,322.0,,682.0,,,,,,
ADDIS ABABA UNIVERSITY,881.0,,,625.0,,,2173.0,907.0,935.0,701.0,,,,,,1087.0,,,1294.0,1104.0,572.0,
ADELAIDE CANC CTR,,,,6587.0,,,,,,,,,,,,,,,,,,
ADELAIDE INSTITUTE FOR SLEEP HEALTH,,,,5459.0,,,,,,,,,,,,,,,,,,
ADELAIDE MED RES,,,,3528.0,,,,,,,,,,,,,,,,,,
ADELPHI GROUP LTD,,,,5496.0,,,,,,,,,,,,,,,,,,
ADELPHI UNIVERSITY,,,,,,,,,,,,,,,,,,,,903.0,1518.0,
ADEN COLL,,,,6551.0,,,,,,,,,,,,,,,,,,
ADEN UNIV,,,,4557.0,,,,,,,,,,,,,,,,,,
ADIGRAT UNIV,,,,2012.0,,,,,,,,,,,,,,,,,,
ADIYAMAN UNIVERSITY,,,,6333.0,,,,,,,,,,,,,,776.0,,,,
ADNAN MENDERES UNIVERSITY,1109.0,,,4411.0,,,,,,,,,,,,,,,1577.0,,,
ADOBE SYSTEMS INC.,,,,,710.0,,,,,,,,,,,,,,,,,
ADRIENNE HELIS MALVIN MED RES FDN,,,,,,,,,,,,,,,,1210.0,,,,,,
ADV DIGITAL SCI CTR,,,,,,,2408.0,,,,,,,,,,,,,,,
ADV RES INST,,,,4384.0,,,,,,,,,,,,,,,,,,
"ADVANCE CENTRE FOR TREATMENT, RESEARCH & EDUCATION IN CANCER (ACTREC)",,,,5051.0,,,,,,,,,,,,,,,,,,
ADVANCED ENERGY SCIENCE & TECHNOLOGY GUANGDONG LABORATORY,,,1902.0,,,,2655.0,,,,1029.0,,,,,,,,,,,
ADVENTHEALTH,,,,1067.0,,,,,,,,,,,,,,,,,2270.0,
ADVENTHEALTH ORLANDO,,,,3193.0,,,,,,,,,,,,,,,,,,
ADVENTIST HEALTH SERVICES,,,,1066.0,,,,,,,,,,,,,,,,,2216.0,
ADVENTIST HEALTHCARE,,,,5561.0,,,,,,,,,,,,,,,,,,
ADVOCATE CHILDRENS HOSP,,,,5106.0,,,,,,,,,,,,,,,,,,
ADVOCATE CHRIST MED CTR,,,,5003.0,,,,,,,,,,,,,,,,,,
AERODYNE RESEARCH,,,,,,,,1816.0,508.0,,,,,,,,,,,,,
AEROSP RES INST MAT & PROC TECHNOL,,,,,,,,,,,1076.0,,,,,,,,,,,
"AEROSPACE INFORMATION RESEARCH INSTITUTE, CAS",,,,,,,1604.0,1523.0,185.0,,,,,,,,,,,,,
AFRICA HEALTH RESEARCH INSTITUTE,,,,1816.0,,,,,,943.0,,,,,,,,,,,1822.0,
AFRICA RICE CENTER,917.0,,,,,,,,,,,,,,,,,,,,,
AFRICAN FIELD EPIDEMIOL NETWORK,,,,6147.0,,,,,,,,,,,,,,,,,,
AFRICAN MEDICAL & RESEARCH FOUNDATION (AMREF),,,,3418.0,,,,,,,,,,,,,,,,,,
AFRICAN POPULATION & HEALTH RESEARCH CENTRE,,,,1180.0,,,,,,,,,,,,,,,,,1066.0,
AFRO ASIAN INST,,,,3600.0,,,,,,,,,,,,,,,,,,
AFYON KOCATEPE UNIVERSITY,,,,6246.0,,,2044.0,,,,,,,,,,,,,,,
AGA KHAN UNIV HOSP,,,,6487.0,,,,,,,,,,,,,,,,,,
AGA KHAN UNIVERSITY,,,,498.0,,,,,,662.0,,,,,,,,,,,913.0,
AGCY HEALTHCARE RES & QUALITY,,,,2855.0,,,,,,,,,,,,,,,,,,
AGCY HLTH TECHNOL ASSESSMENT & TARIFF SYST,,,,1974.0,,,,,,,,,,,,,,,,,,
AGCY PREVENT & SOCIAL MED,,,,3208.0,,,,,,,,,,,,,,,,,,
AGCY PREVENT AND SOCIAL MED,,,,6434.0,,,,,,,,,,,,,,,,,,
AGENCE BIOMED,,,,6573.0,,,,,,,,,,,,,,,,,,
AGENCE DE MEDECINE PREVENTIVE,,,,2206.0,,,,,,,,,,,,,,,,,,
"AGENCE NATIONALE DE SECURITE SANITAIRE DE L'ALIMENTATION, DE L'ENVIRONNEMENT DU TRAVAIL (ANSES)",1136.0,,,,,,,1584.0,,,,,373.0,,,,1132.0,,868.0,,,
AGENCIA ESTATAL DE METEOROLOGIA (AEMET),,,,,,,,,954.0,,,,,,,,,,,,,
AGENCY FOR HEALTHCARE RESEARCH & QUALITY,,,,5809.0,,,,,,,,,,,,,,,,,1010.0,
"AGENCY OF DEFENSE DEVELOPMENT (ADD), REPUBLIC OF KOREA",,,,,,,1477.0,,,,,,,,,,,,,,,
AGENSI NUKLEAR MALAYSIA,,,,,,,,,,,,,,,,,,948.0,,,,
AGENZIA SPAZIALE ITALIANA (ASI),,,,,,,,,,,,,,,,,,,,,,122.0
AGEO CENT GEN HOSP,,,,5478.0,,,,,,,,,,,,,,,,,,
AGH UNIVERSITY OF KRAKOW,,,853.0,,744.0,,447.0,1303.0,731.0,,463.0,293.0,,,,,,303.0,,,,
AGHARKAR RESEARCH INSTITUTE (ARI),,,,,,,,,,,,,,,,,,,1219.0,,,
AGILENT TECHNOLOGIES,,,2002.0,,,,,,,,,,,,,,,,,,,
AGING RES CTR,,,,6336.0,,,,,,,,,,,,,,,,,,
AGIOS PHARMACEUTICALS,,,,3921.0,,,,,,,,,,,,,,,,,,
AGR MINIST CHINA,,,,,,,,,,,,,,,,,,,1940.0,,,
AGR RES EDUC & EXTENS ORG,,,,,,,,,,,,,,,,,,,1316.0,,,
AGR RES EDUC & EXTENS ORG AREEO,1081.0,,,,,,,,,,,,,,,,,,1251.0,,,
AGR RES ORG,1228.0,,,,,,,,,,,,,,,,,,1473.0,,,
AGRESEARCH - NEW ZEALAND,231.0,,,,,,,1416.0,,,,,,,,,,,835.0,,,
AGRI-FOOD & BIOSCIENCES INSTITUTE,1143.0,,,,,,,1839.0,,,,,,,,,,,1116.0,,,
AGRICULTURAL RESEARCH CENTER - EGYPT,406.0,1376.0,2058.0,,,,,1640.0,,,,,,,,,,,363.0,,,
AGRICULTURAL RESEARCH COUNCIL OF SOUTH AFRICA,879.0,,,,,,,,,,,,,,,,,,978.0,,,
AGRICULTURAL UNIVERSITY OF ATHENS,251.0,,,3938.0,,,,1567.0,,,,,,,,,,,616.0,,,
AGRICULTURAL UNIVERSITY PESHAWAR,1049.0,,,,,,,,,,,,,,,,,,1160.0,,,
AGRICULTURE & AGRI FOOD CANADA,33.0,1229.0,,,,,,706.0,849.0,,,,339.0,,,,,,107.0,,,
"AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS",1254.0,1466.0,,,,,,,,,,,,,,,,,693.0,,,
AGRICULTURE VICTORIA,,,,,,,,,,,,,,,,,,,1855.0,,,
"AGRO-ENVIRONMENTAL PROTECTION INSTITUTE, CAAS",,,,,,,2451.0,901.0,,,,,,,,,,,,,,
AGROCAMPUS OUEST,372.0,,,,,,,1209.0,,,,,,,,,,,552.0,,,
AGROSUP DIJON,244.0,1233.0,,1794.0,,,,1135.0,,,,,785.0,878.0,,,,,774.0,,,
AHEPA UNIVERSITY HOSPITAL,,,,2019.0,,,,,,,,,,,,,,,,,,
AHMADU BELLO UNIVERSITY,,,,921.0,,,2407.0,,,,,,,,,772.0,,,,,2244.0,
AHSANULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY (AUST),,,,,,,1783.0,,,,,,,,,,,,,,,
AHVAZ JUNDISHAPUR UNIVERSITY OF MEDICAL SCIENCES (AJUMS),,,,1070.0,,,2089.0,1337.0,,,,,,,,623.0,629.0,,,,1905.0,
AICHI CANCER CENTER,,,,768.0,,,,,,,,,,,,,,,,,,
AICHI GAKUIN UNIVERSITY,,,,5181.0,,,,,,,,,,,,,,,,,,
AICHI MEDICAL UNIVERSITY,,,,1725.0,,,,,,,,,,,,1114.0,,,,,,
AIDC EC,,,,3989.0,,,,,,,,,,,,,,,,,,
AIMST UNIVERSITY,,,,6614.0,,,,,,,,,,,,,,,,,,
AIN SHAMS UNIVERSITY,551.0,946.0,622.0,687.0,,,511.0,1307.0,,855.0,734.0,,,,,601.0,213.0,702.0,931.0,,1717.0,
AINTREE UNIV,,,,4237.0,,,,,,,,,,,,,,,,,,
AINTREE UNIV HOSP NATL HLTH SERV FDN TRUST NHS,,,,4251.0,,,,,,,,,,,,,,,,,,
AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,1253.0,,,,,,,,,,,,,,,,,,
AIR FORCE ENGINEERING UNIVERSITY,,,,,810.0,,629.0,,,,1105.0,,,,,,,,,,,
AIR FORCE INSTITUTE OF TECHNOLOGY (AFIT),,,,,,,2218.0,,,,,,,,,,,,,,,
AIR FORCE MEDICAL UNIVERSITY,,444.0,1880.0,605.0,,,,,,722.0,766.0,,,364.0,,464.0,299.0,,,978.0,,
AIR FORCE RES LAB,,,,,,,2228.0,,,,,,,,,,,,,,,
AIR UNIVERSITY ISLAMABAD,,,,,,,1495.0,,,,,,,,,,,,,,,
AIRBUS,,,,,,,1525.0,,,,1535.0,,,,,,,,,,,
AIRBUS FRANCE S.A.S.,,,,,,,2478.0,,,,,,,,,,,,,,,
AIRLANGGA UNIVERSITY,,,,1804.0,,,2529.0,,,,,,,,,,,,,,2090.0,
AJA UNIV MED SCI,,,,5105.0,,,,,,,,,,,,,,,,,,
AJMAN UNIVERSITY,,,,4155.0,,,1761.0,,,,,,,,,,,,,,,
AJOU UNIVERSITY,,836.0,906.0,917.0,827.0,,748.0,1838.0,,700.0,626.0,,,1062.0,,1263.0,704.0,,,,1600.0,
AJOU UNIVERSITY HOSPITAL,,,,2978.0,,,,,,,,,,,,,,,,,,
AKADEMIA WYCHOWANIA FIZYCZNEGO IM. JERZEGO KUKUCZKI W KATOWICACH,,,,5607.0,,,,,,,,,,,,,,,,,,
AKDENIZ UNIVERSITY,903.0,,,2564.0,,,1434.0,1748.0,,,,,,,,,,,1460.0,,1570.0,
AKITA UNIVERSITY,,,,2747.0,,,,,,,,,,,,,,,,,,
AKRON CHILDREN'S HOSPITAL,,,,3847.0,,,,,,,,,,,,,,,,,,
AKSARAY UNIVERSITY,,,,,,,2707.0,,,,,,,,,,,,,,,
AKSUM UNIV,,,,1411.0,,,,,,,,,,,,,,,,,,
AKVAPLAN-NIVA,,,,,,,,1773.0,,,,,,,,,,,1573.0,,,
AL AIN UNIV,,,,,,,2777.0,,,,,,,,,,,,,,,
AL AZHAR UNIVERSITY,968.0,565.0,533.0,1684.0,,,1051.0,1609.0,,,628.0,,,,,,177.0,,817.0,,1874.0,
AL BAHA UNIVERSITY,,,,,,,2598.0,,,,,,,,,,,,,,,
AL JOUF UNIVERSITY,,1449.0,1081.0,4408.0,,,890.0,,,,1279.0,,,,,,583.0,,1841.0,,,
AL SHIFA TRUST EYE HOSP,,,,1210.0,,,,,,,,,,,,1153.0,,,,,,
AL-AHLIYYA AMMAN UNIVERSITY,,,,,,,2565.0,,,,,,,,,,,,,,,
AL-BALQA APPLIED UNIVERSITY,,,,,701.0,,1648.0,,,,,,,,,,,,,,1893.0,
AL-FARABI KAZAKH NATIONAL UNIVERSITY,,,,3406.0,,,2086.0,,,,,,,,,,,,,,,
AL-MUSTAQBAL UNIVERSITY COLLEGE,,,,,,,1769.0,,,,,,,,,,,,,,,
AL-NAHRAIN UNIVERSITY,,,,,,,2589.0,,,,,,,,,,,,,,,
AL-QUDS UNIVERSITY,,,,2765.0,,,,,,,,,,,,,,,,,,
ALABAMA CLIN THERAPEUT LLC,,,,4711.0,,,,,,,,,,,,,,,,,,
ALAGAPPA UNIVERSITY,,1226.0,1484.0,,,,2025.0,,,,1161.0,,,,,,1310.0,,,,,
ALAN TURING INSTITUTE,,,,3999.0,821.0,,2272.0,,,,,,,,,,,,,,1170.0,
ALASKA DEPARTMENT OF FISH & GAME,,,,,,,,,,,,,,,,,,,1500.0,,,
ALASKA NATIVE MEDICAL CENTER,,,,4217.0,,,,,,,,,,,,,,,,,,
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,,,,2742.0,,,,,,,,,,,,,,,,,,
ALBANY COLLEGE OF PHARMACY & HEALTH SCIENCES,,,,6058.0,,,,,,,,,,,,,1102.0,,,,,
ALBANY MEDICAL COLLEGE,,,,1257.0,,,,,,,,,,,,1086.0,,,,,,
ALBANY STATE UNIVERSITY,,,,5260.0,,,,,,,,,,,,,,,,,,
ALBERT EINSTEIN CENTER FOR FUNDAMENTAL PHYSICS,,,,,,,,,,,,,,,,,,359.0,,,,
ALBERT EINSTEIN COLLEGE OF MEDICINE,,381.0,,237.0,,,,,,347.0,,,326.0,197.0,,215.0,540.0,,,511.0,625.0,
ALBERT SCHWEITZER ZIEKENHUIS,,,,2732.0,,,,,,,,,,,,,,,,,,
ALBERTA AGR & FORESTRY,,,,,,,,,,,,,,,,,,,1777.0,,,
ALBERTA CHILDRENS HOSPITAL,,,,1761.0,,,,,,,,,,,,801.0,,,,962.0,,
ALBERTA HEALTH SERVICES (AHS),,,,1276.0,,,,,,,,,,,,1285.0,,,,,783.0,
ALBORZ UNIVERSITY OF MEDICAL SCIENCES,,,,764.0,,,,,,790.0,,,,,,747.0,,,,,,
ALBUQUERQUE CLIN TRIALS,,,,4777.0,,,,,,,,,,,,,,,,,,
ALCOHOL RESEARCH GROUP,,,,,,,,,,,,,,,,,,,,,2071.0,
ALCORCON FOUNDATION UNIVERSITY HOSPITAL,,,,2325.0,,,,,,,,,,,,,,,,,,
ALDER HEY CHILDREN'S HOSPITAL,,,,3101.0,,,,,,,,,,,,,,,,,,
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,,,,1894.0,,,,,,,,,,,,,,,,,,
ALEX EKWUEME FED UNIV TEACHING HOSP ABAKALIKI,,,,3327.0,,,,,,,,,,,,,,,,,,
ALEXANDRA HOSP,,,,5381.0,,,,,,,,,,,,,,,,,,
ALEXANDRA HOSPITAL,,,,1433.0,,,,,,,,,,,,,,,,,,
ALEXANDRIA UNIVERSITY,544.0,804.0,661.0,887.0,,,577.0,1016.0,,,901.0,,,,,,247.0,,320.0,,1121.0,
ALEXANDRU IOAN CUZA UNIVERSITY,,,1995.0,,,,,1840.0,,,,,,,,,,912.0,,,,
"ALEXION, ASTRAZENECA RARE DISEASE",,,,5358.0,,,,,,,,,,,,,,,,,,
ALFAISAL UNIVERSITY,,,,1051.0,,,,,,737.0,,,,,,733.0,,,,,1518.0,
ALFASIAL UNIV,,,,6383.0,,,,,,,,,,,,,,,,,,
ALFRED HEALTH,,,,1134.0,,,,,,419.0,,,,,,1094.0,,,,,1633.0,
"ALFRED WEGENER INSTITUTE, HELMHOLTZ CENTRE FOR POLAR & MARINE RESEARCH",,1580.0,,,,,,323.0,66.0,,,,635.0,,,,,,438.0,,,
ALFRIED KRUPP HOSPITAL,,,,6331.0,,,,,,,,,,,,,,,,,,
ALIBABA GROUP,,,,,574.0,,1547.0,,,,,,,,,,,,,,,
ALICE HO MIU LING NETHERSOLE HOSPITAL,,,,3593.0,,,,,,,,,,,,,,,,,,
ALIGARH MUSLIM UNIVERSITY,1122.0,747.0,677.0,5498.0,,,940.0,1188.0,,,1248.0,339.0,,,,,791.0,946.0,587.0,,,
ALIKHANOV INSTITUTE FOR THEORETICAL & EXPERIMENTAL PHYSICS,,,,,,,,,,,,,,,,,,201.0,,,,
ALL INDIA INST MED SCI,,,,3915.0,,,,,,,,,,,,,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) BHOPAL,,,,4145.0,,,,,,,,,,,,,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) BHUBANESWAR,,,,5452.0,,,,,,,,,,,,,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) JODHPUR,,,,1721.0,,,,,,,,,,,,1117.0,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) NAGPUR,,,,5200.0,,,,,,,,,,,,,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) NEW DELHI,,1310.0,,399.0,,,,,,723.0,,,,1124.0,,661.0,990.0,,,,1784.0,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) RAIPUR,,,,6620.0,,,,,,,,,,,,,,,,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS) RISHIKESH,,,,3464.0,,,,,,,,,,,,,,,,,,
ALL MED MED RES INST,,,,,,,,,,1166.0,,,,,,,,,,,,
ALL MED RES LLC,,,,4576.0,,,,,,,,,,,,,,,,,,
ALL-IRELAND COOPERATIVE ONCOLOGY RESEARCH GROUP,,,,5283.0,,,,,,,,,,,,,,,,,,
ALL-RUSSIAN INSTITUTE OF PLANT PROTECTION,,,,,,,,,,,,,,,,,,,1875.0,,,
ALLAMEH TABATABA'I UNIVERSITY,,,,,,,2674.0,,,,,,,,,,,,,,2206.0,
ALLEGHENY GENERAL HOSPITAL,,,,2802.0,,,,,,,,,,,,,,,,,,
ALLEGHENY HEALTH NETWORK,,,,1654.0,,,,,,,,,,,,,,,,,,
ALLEN INSTITUTE FOR BRAIN SCIENCE,,1481.0,,,,,,,,,,,,,,516.0,,,,,,
ALLERGAN,,,,3650.0,,,,,,,,,,,,,,,,,,
ALLIANCE,304.0,,,,,,,580.0,,,,,,,,,,,720.0,,1316.0,
ALLIANCE IMPROVING HLTH OUTCOMES INC,,,,2399.0,,,,,,,,,,,,,,,,,,
ALLIANCE MANCHESTER BUSINESS SCHOOL,,,,,,212.0,,,,,,,,,,,,,,,1067.0,
ALLINA HEALTH SYSTEM,,,,5305.0,,,,,,,,,,,,,,,,,,
ALMAZOV NATIONAL MEDICAL RESEARCH CENTRE,,,,3966.0,,,,,,,,,,,,,,,,,,
ALNYLAM PHARMACEUTICALS,,,,4231.0,,,,,,,,,,,,,,,,,,
ALPHABET INC.,,203.0,1911.0,2872.0,12.0,,363.0,1989.0,479.0,,,,,1037.0,36.0,910.0,,814.0,,,,
ALTAI STATE MEDICAL UNIVERSITY,,,,4303.0,,,,,,,,,,,,,,,,,,
ALTAI STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,1901.0,,,
ALTAIR BIOSTAT,,,,4642.0,,,,,,,,,,,,,,,,,,
ALTON MENTAL HLTH CTR,,,,5932.0,,,,,,,,,,,,,,,,,,
